exposuretype,securitylevel,varcharext,createuserid,coverageid,createtime,compbenefitsid,averageweeklywages,daysinweek,lostpropertytype,segment,lastdayworked,ssbenefit,pipdeathbenefitsid,id,claimid,rsbenefitsid,examinationdate,ppdbenefitsid,integerext,tpdbenefitsid,wagestmtrecd,claimanttype,closedoutcome,hospitaldate,incidentlimitreached,locked,wcbenefit,settlemethod,othercovgchoice,wagebenefit,deathbenefitsid,assignedgroupid,depreciatedvalue,previousqueueid,assignmentdate,assignmentstatus,loadcommandid,metriclimitgeneration,disbenefitsid,progress,diagnosticcnsistnt,assignedbyuserid,wcpreexdisblty,updateuserid,updatetime,losscategory,treatedpatientbfr,lossparty,publicid,breakin,retired,archivepartition,validationlevel,pippersonagglimitreached,lifepensionbenefitsid,jurisdictionstate,state,coveragesubtype,previoususerid,vocbenefitsid,statlineid,priorempdataid,reopendate,isoreceivedate,claimorder,strategy,ptdbenefitsid,replacementvalue,ttdbenefitsid,wcpreexdisbltyinfo,closedate,wcbenefitsid,previousgroupid,exposuretier,riagreementgroupid,pipvocbenefitsid,isostatus,settledate,ssdibenefitsid,pipnonmedagglimitreached,assignedqueueid,pipesslimitreached,othercoverageinfo,templocationid,hospitaldays,furthertreatment,assigneduserid,isosenddate,ssdieligible,isoknown,exposurelimitreached,reopenedreason,beanversion,wagestmtsent,claimantdenormid,primarycoverage,currentconditions,incidentid,newempdataid,rigroupsetexternally,pipclaimagglimitreached,othercoverage,contactpermitted
GLASS,,,,COV01-1000002,2018-07-03,,,,,,,,,EXP01-10001,CLM01-1006010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101078,,,,,
COMP,,,,COV01-1000002,2018-12-09,,,,,,,,,EXP01-10003,CLM01-1002168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2019-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101079,,,,,
PD,,,,COV01-1000002,2018-09-27,,,,,,,,,EXP01-10005,CLM01-1009070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101080,,,,,
COL,,,,COV01-1000002,2018-11-26,,,,,,,,,EXP01-10004,CLM01-1010185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101081,,,,,
GLASS,,,,COV01-1000001,2018-11-08,,,,,,,,,EXP01-10001,CLM01-1004350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101082,,,,,
COMP,,,,COV01-1000001,2018-06-22,,,,,,,,,EXP01-10003,CLM01-1005347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101083,,,,,
COMP,,,,COV01-1000002,2018-01-25,,,,,,,,,EXP01-10003,CLM01-1005331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101084,,,,,
GLASS,,,,COV01-1000002,2018-10-27,,,,,,,,,EXP01-10001,CLM01-1001165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101085,,,,,
GLASS,,,,COV01-1000004,2018-09-12,,,,,,,,,EXP01-10001,CLM01-1003785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101086,,,,,
GLASS,,,,COV01-1000004,2018-07-06,,,,,,,,,EXP01-10001,CLM01-1005571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101087,,,,,
BI,,,,COV01-1000002,2018-03-26,,,,,,,,,EXP01-10002,CLM01-1003236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101088,,,,,
COL,,,,COV01-1000001,2018-11-13,,,,,,,,,EXP01-10004,CLM01-1006053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101089,,,,,
BI,,,,COV01-1000005,2018-03-12,,,,,,,,,EXP01-10002,CLM01-1008741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101090,,,,,
BI,,,,COV01-1000001,2018-02-12,,,,,,,,,EXP01-10002,CLM01-1003079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101091,,,,,
BI,,,,COV01-1000002,2018-10-27,,,,,,,,,EXP01-10002,CLM01-1008867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101092,,,,,
COMP,,,,COV01-1000002,2018-09-12,,,,,,,,,EXP01-10003,CLM01-1004057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101093,,,,,
COMP,,,,COV01-1000002,2018-03-18,,,,,,,,,EXP01-10003,CLM01-1004409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101094,,,,,
PD,,,,COV01-1000001,2018-09-01,,,,,,,,,EXP01-10005,CLM01-1002435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101095,,,,,
COL,,,,COV01-1000002,2018-06-12,,,,,,,,,EXP01-10004,CLM01-1010149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101096,,,,,
BI,,,,COV01-1000001,2018-11-09,,,,,,,,,EXP01-10002,CLM01-1007193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101097,,,,,
PD,,,,COV01-1000002,2018-07-21,,,,,,,,,EXP01-10005,CLM01-1007267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101098,,,,,
COMP,,,,COV01-1000001,2018-07-27,,,,,,,,,EXP01-10003,CLM01-1005288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101099,,,,,
COMP,,,,COV01-1000002,2018-12-08,,,,,,,,,EXP01-10003,CLM01-1007124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101100,,,,,
PD,,,,COV01-1000002,2018-09-11,,,,,,,,,EXP01-10005,CLM01-1010129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101101,,,,,
GLASS,,,,COV01-1000001,2018-02-01,,,,,,,,,EXP01-10001,CLM01-1007049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101102,,,,,
COMP,,,,COV01-1000002,2019-02-05,,,,,,,,,EXP01-10003,CLM01-1004860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101103,,,,,
BI,,,,COV01-1000002,2018-02-07,,,,,,,,,EXP01-10002,CLM01-1006254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101104,,,,,
COL,,,,COV01-1000002,2018-04-07,,,,,,,,,EXP01-10004,CLM01-1003924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101105,,,,,
COMP,,,,COV01-1000001,2018-09-07,,,,,,,,,EXP01-10003,CLM01-1002354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101106,,,,,
COMP,,,,COV01-1000002,2018-06-09,,,,,,,,,EXP01-10003,CLM01-1007604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101107,,,,,
GLASS,,,,COV01-1000001,2018-04-20,,,,,,,,,EXP01-10001,CLM01-1010237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101108,,,,,
COL,,,,COV01-1000001,2018-11-27,,,,,,,,,EXP01-10004,CLM01-1001820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101109,,,,,
COMP,,,,COV01-1000002,2018-11-27,,,,,,,,,EXP01-10003,CLM01-1009273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101110,,,,,
BI,,,,COV01-1000001,2018-01-14,,,,,,,,,EXP01-10002,CLM01-1004574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101111,,,,,
COL,,,,COV01-1000001,2018-05-15,,,,,,,,,EXP01-10004,CLM01-1005921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101112,,,,,
PD,,,,COV01-1000001,2018-05-10,,,,,,,,,EXP01-10005,CLM01-1010262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101113,,,,,
PD,,,,COV01-1000002,2018-08-11,,,,,,,,,EXP01-10005,CLM01-1007142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101114,,,,,
COL,,,,COV01-1000002,2018-04-25,,,,,,,,,EXP01-10004,CLM01-1010748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101115,,,,,
PD,,,,COV01-1000002,2018-01-03,,,,,,,,,EXP01-10005,CLM01-1004708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101116,,,,,
BI,,,,COV01-1000002,2018-01-31,,,,,,,,,EXP01-10002,CLM01-1004781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101117,,,,,
BI,,,,COV01-1000001,2018-02-06,,,,,,,,,EXP01-10002,CLM01-1008092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101118,,,,,
COMP,,,,COV01-1000001,2018-02-04,,,,,,,,,EXP01-10003,CLM01-1002565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101119,,,,,
GLASS,,,,COV01-1000002,2018-07-14,,,,,,,,,EXP01-10001,CLM01-1010342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101120,,,,,
BI,,,,COV01-1000001,2018-03-25,,,,,,,,,EXP01-10002,CLM01-1010192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101121,,,,,
BI,,,,COV01-1000002,2018-05-02,,,,,,,,,EXP01-10002,CLM01-1009907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101122,,,,,
PD,,,,COV01-1000004,2018-02-09,,,,,,,,,EXP01-10005,CLM01-1005275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101123,,,,,
GLASS,,,,COV01-1000003,2018-02-15,,,,,,,,,EXP01-10001,CLM01-1001473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101124,,,,,
COL,,,,COV01-1000001,2018-10-24,,,,,,,,,EXP01-10004,CLM01-1008729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101125,,,,,
COMP,,,,COV01-1000001,2018-11-06,,,,,,,,,EXP01-10003,CLM01-1005442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101126,,,,,
COL,,,,COV01-1000001,2018-02-09,,,,,,,,,EXP01-10004,CLM01-1002553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101127,,,,,
PD,,,,COV01-1000001,2018-11-09,,,,,,,,,EXP01-10005,CLM01-1004510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101128,,,,,
COL,,,,COV01-1000002,2018-08-17,,,,,,,,,EXP01-10004,CLM01-1010465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101129,,,,,
GLASS,,,,COV01-1000002,2018-06-17,,,,,,,,,EXP01-10001,CLM01-1006697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101130,,,,,
COL,,,,COV01-1000001,2018-02-19,,,,,,,,,EXP01-10004,CLM01-1006384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101131,,,,,
BI,,,,COV01-1000002,2018-12-25,,,,,,,,,EXP01-10002,CLM01-1007594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101132,,,,,
GLASS,,,,COV01-1000001,2018-03-05,,,,,,,,,EXP01-10001,CLM01-1009460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101133,,,,,
GLASS,,,,COV01-1000005,2018-11-05,,,,,,,,,EXP01-10001,CLM01-1001803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101134,,,,,
COL,,,,COV01-1000002,2018-07-13,,,,,,,,,EXP01-10004,CLM01-1003427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101135,,,,,
PD,,,,COV01-1000002,2018-08-24,,,,,,,,,EXP01-10005,CLM01-1000851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101136,,,,,
PD,,,,COV01-1000001,2018-02-08,,,,,,,,,EXP01-10005,CLM01-1010142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101137,,,,,
PD,,,,COV01-1000001,2018-02-16,,,,,,,,,EXP01-10005,CLM01-1005704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101138,,,,,
COMP,,,,COV01-1000002,2018-03-13,,,,,,,,,EXP01-10003,CLM01-1009746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101139,,,,,
PD,,,,COV01-1000001,2018-12-05,,,,,,,,,EXP01-10005,CLM01-1007003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101140,,,,,
BI,,,,COV01-1000002,2018-06-16,,,,,,,,,EXP01-10002,CLM01-1005454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101141,,,,,
BI,,,,COV01-1000002,2018-02-22,,,,,,,,,EXP01-10002,CLM01-1001308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101142,,,,,
COMP,,,,COV01-1000002,2018-08-20,,,,,,,,,EXP01-10003,CLM01-1008498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101143,,,,,
PD,,,,COV01-1000003,2018-10-23,,,,,,,,,EXP01-10005,CLM01-1006244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101144,,,,,
BI,,,,COV01-1000002,2019-01-23,,,,,,,,,EXP01-10002,CLM01-1008645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101145,,,,,
GLASS,,,,COV01-1000001,2018-11-23,,,,,,,,,EXP01-10001,CLM01-1008391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101146,,,,,
COMP,,,,COV01-1000001,2018-07-15,,,,,,,,,EXP01-10003,CLM01-1004828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101147,,,,,
PD,,,,COV01-1000002,2018-04-22,,,,,,,,,EXP01-10005,CLM01-1009121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101148,,,,,
COL,,,,COV01-1000004,2018-11-27,,,,,,,,,EXP01-10004,CLM01-1006864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101149,,,,,
PD,,,,COV01-1000003,2018-09-21,,,,,,,,,EXP01-10005,CLM01-1000324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101150,,,,,
GLASS,,,,COV01-1000002,2018-11-05,,,,,,,,,EXP01-10001,CLM01-1001803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101151,,,,,
BI,,,,COV01-1000001,2018-11-26,,,,,,,,,EXP01-10002,CLM01-1004676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101152,,,,,
COL,,,,COV01-1000002,2018-09-03,,,,,,,,,EXP01-10004,CLM01-1010238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101153,,,,,
COL,,,,COV01-1000002,2018-02-05,,,,,,,,,EXP01-10004,CLM01-1005813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101154,,,,,
GLASS,,,,COV01-1000002,2019-01-30,,,,,,,,,EXP01-10001,CLM01-1000125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101155,,,,,
BI,,,,COV01-1000002,2018-09-13,,,,,,,,,EXP01-10002,CLM01-1007169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101156,,,,,
BI,,,,COV01-1000002,2018-02-25,,,,,,,,,EXP01-10002,CLM01-1004319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101157,,,,,
GLASS,,,,COV01-1000001,2018-11-02,,,,,,,,,EXP01-10001,CLM01-1005088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101158,,,,,
COL,,,,COV01-1000004,2018-11-27,,,,,,,,,EXP01-10004,CLM01-1010681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101159,,,,,
GLASS,,,,COV01-1000001,2018-08-14,,,,,,,,,EXP01-10001,CLM01-1006905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101160,,,,,
COL,,,,COV01-1000001,2018-11-21,,,,,,,,,EXP01-10004,CLM01-1008275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101161,,,,,
COL,,,,COV01-1000005,2018-06-12,,,,,,,,,EXP01-10004,CLM01-1009567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101162,,,,,
COL,,,,COV01-1000001,2018-07-05,,,,,,,,,EXP01-10004,CLM01-1005602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101163,,,,,
BI,,,,COV01-1000002,2018-08-14,,,,,,,,,EXP01-10002,CLM01-1004961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101164,,,,,
COMP,,,,COV01-1000003,2018-11-08,,,,,,,,,EXP01-10003,CLM01-1009200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101165,,,,,
COMP,,,,COV01-1000001,2018-03-11,,,,,,,,,EXP01-10003,CLM01-1003309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-101166,,,,,
